,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAYI,İNGİLİZCESİ,TÜRKÇESİ,TÜRÜ,EŞ / YAKIN ANLAMLISI,ZIT ANLAMLISI,ÖRNEK CÜMLE 1,ÖRNEK CÜMLE 2,ÖRNEK CÜMLE 3,ÖRNEK CÜMLE 4,ÖRNEK CÜMLE 5,ÖRNEK CÜMLE 6,ÖRNEK CÜMLE 7,ÖRNEK CÜMLE 8,ÖRNEK CÜMLE 9,ÖRNEK CÜMLE 10,ÖRNEK CÜMLE 11,ÖRNEK CÜMLE 12,ÖRNEK CÜMLE 13,ÖRNEK CÜMLE 14,ÖRNEK CÜMLE 15,ÖRNEK CÜMLE 16,ÖRNEK CÜMLE TÜRKÇESİ 1,ÖRNEK CÜMLE TÜRKÇESİ 2,ÖRNEK CÜMLE TÜRKÇESİ 3,ÖRNEK CÜMLE TÜRKÇESİ 4,ÖRNEK CÜMLE TÜRKÇESİ 5,ÖRNEK CÜMLE TÜRKÇESİ 6,ÖRNEK CÜMLE TÜRKÇESİ 7,ÖRNEK CÜMLE TÜRKÇESİ 8,ÖRNEK CÜMLE TÜRKÇESİ 9,ÖRNEK CÜMLE TÜRKÇESİ 10,ÖRNEK CÜMLE TÜRKÇESİ 11,ÖRNEK CÜMLE TÜRKÇESİ 12,ÖRNEK CÜMLE TÜRKÇESİ 13,ÖRNEK CÜMLE TÜRKÇESİ 14,ÖRNEK CÜMLE TÜRKÇESİ 15,ÖRNEK CÜMLE TÜRKÇESİ 16
58,Obesity,"Aşırı Şişmanlık, Obezite",n,"Fatness, Plumpness",,A diet that is high in fat can lead to obesity.,Doctors warn that childhood obesity is a growing health concern.,Obesity is linked to many health problems.,Lack of physical activity is a major factor contributing to obesity.,Public health campaigns aim to reduce the rate of childhood obesity.,Doctors warn that obesity can lead to serious heart problems.,Childhood obesity has become a major public health concern globally.,A sedentary lifestyle is one of the primary causes of rising obesity.,The documentary explores the social impacts of obesity.,Genetic factors can influence an individual's susceptibility to obesity.,Schools are implementing new programs to combat the obesity epidemic.,There is a proven link between high sugar consumption and obesity.,Doctors warn that obesity significantly increases the risk of disease.,Public health campaigns aim to educate people about obesity.,The study examines how urban planning can affect obesity rates.,Obesity can lead to long-term psychological and physical issues.,Yağ oranı yüksek bir beslenme obeziteye yol açabilir.,Doktorlar obezitenin kalp hastalığı riskini artırdığı uyarısında bulunuyor.,Obezite birçok sağlık sorunuyla bağlantılıdır.,Fiziksel aktivite eksikliği obeziteye katkıda bulunan ana faktördür.,Halk sağlığı kampanyaları çocukluk çağı obezite oranını azaltmayı amaçlar.,Doktorlar obezitenin ciddi kalp sorunlarına yol açabileceği uyarısında bulunuyor.,Çocukluk çağı obezitesi küresel bir halk sağlığı sorunu haline geldi.,Hareketsiz yaşam tarzı artan obezitenin temel nedenlerinden biridir.,Belgesel obezitenin sosyal ve ekonomik etkilerini araştırıyor.,Genetik faktörler bireyin obeziteye yatkınlığını etkileyebilir.,Okullar obezite salgınıyla mücadele etmek için yeni programlar uyguluyor.,Yüksek şeker tüketimi ile obezite arasında kanıtlanmış bir bağ vardır.,Doktorlar obezitenin kalp hastalığı riskini önemli ölçüde artırdığı uyarısında bulunuyor.,Halk sağlığı kampanyaları insanları obezitenin tehlikeleri konusunda eğitmeyi amaçlıyor.,Çalışma şehir planlamasının obezite oranlarını nasıl etkilediğini inceliyor.,Obezite uzun vadeli psikolojik ve fiziksel sorunlara yol açabilir.
59,Poison,Zehir,n,"Venom, Toxin",,Her drink has been laced with a deadly poison.,Some mushrooms contain a deadly poison and should not be eaten.,The substance can poison the water supply.,Some desert snakes carry a poison that can be fatal to humans.,Be careful not to let children near the bottles marked as poison.,The chemicals from the factory began to poison the local river.,Some industrial chemicals can poison the local water supply.,Many plants in the jungle contain natural poison as defense.,The snake's poison is highly toxic and requires medical attention.,Careless disposal of batteries can poison the soil.,Jealousy and mistrust can poison a professional relationship.,Carbon monoxide is a silent poison that is difficult to detect.,The investigation found the victim was killed by a lethal poison.,Farmers must be careful when using pesticides that could poison wildlife.,Rumors can often poison the reputation of an innocent person.,Ancient civilizations often used arrow poison for hunting.,İçeceğine öldürücü bir zehir katılmış.,Pek çok bitki doğal bir savunma mekanizması olarak zehir içerir.,Madde su kaynağını zehirleyebilir.,Bazı çöl yılanları insanlar için ölümcül olabilen bir zehir taşır.,Zehir işaretli şişelere çocukların yaklaşmasına izin vermeyin.,Fabrikadaki kimyasallar yerel nehri zehirlemeye başladı.,Sızma durumunda bazı endüstriyel kimyasallar su kaynağını zehirleyebilir.,Ormandaki pek çok bitki savunma olarak doğal zehir içerir.,Yılanın zehri oldukça toksiktir ve tıbbi müdahale gerektirir.,Pillerin dikkatsizce atılması toprağı ağır metallerle zehirleyebilir.,Kıskançlık ve güvensizlik profesyonel bir ilişkiyi zehirleyebilir.,Karbon monoksit tespiti zor sessiz bir zehirdir.,Soruşturma kurbanın öldürücü bir zehirle öldürüldüğünü buldu.,Çiftçiler yaban hayatını zehirleyebilecek pestisitlere dikkat etmelidir.,Söylentiler masum birinin itibarını zehirleyebilir.,Antik uygarlıklar avcılık ve savaş için genellikle ok zehri kullanırdı.
60,Hostile,"Düşmanca, Hasım, Düşmanca",v,Unfriendly,Friendly,I'm not hostile to the idea of such a change.,The protestors were met with a hostile reaction from the guards.,Their response was openly hostile.,The explorers faced a hostile environment with extreme cold.,He received a hostile reception when he entered the meeting room.,Why are you being so hostile toward a simple suggestion?,The company faces a hostile environment due to competition.,The protestors met the police with a hostile and aggressive reaction.,Some bacteria thrive in hostile conditions where most life cannot survive.,The negotiation failed because of the hostile attitude of one party.,The army advanced into hostile territory under the cover of darkness.,He received a hostile reception when he presented his theory.,The wildlife documentary shows how animals survive in hostile climates.,It is difficult to work in a hostile office where no one trusts anyone.,The judge criticized the witness for being hostile during the questioning.,The desert is a hostile landscape for those who are not prepared.,Böyle bir değişiklik fikrine karşı değilim.,Basit bir öneriye karşı neden bu kadar düşmanca davranıyorsunuz?,Yanıtları açıkça düşmancaydı.,Kaşifler aşırı soğuğun olduğu düşmanca bir ortamla karşılaştılar.,Toplantı odasına girdiğinde düşmanca bir karşılama gördü.,Basit bir öneriye karşı neden bu kadar düşmanca davranıyorsun?,Şirket rekabet nedeniyle düşmanca bir ortamla karşı karşıya.,Protestocular polisi düşmanca ve saldırgan bir tepkiyle karşıladı.,Bazı bakteriler çoğu canlının yaşayamayacağı düşmanca koşullarda gelişir.,Müzakere bir tarafın düşmanca tavrı nedeniyle başarısız oldu.,Ordu karanlıkta düşman topraklarına doğru ilerledi.,Tartışmalı teorisini sunduğunda düşmanca bir tepkiyle karşılaştı.,Belgesel hayvanların düşman iklimlerde nasıl hayatta kaldığını gösteriyor.,Kimsenin kimseye güvenmediği düşmanca bir ofiste çalışmak zordur.,Hakim tanığı sorgulama sırasında düşmanca davrandığı için eleştirdi.,Çöl hazırlıklı olmayanlar için düşman bir manzaradır.
61,Attach,"Bağlamak, İliştirmek",adj,"Connect, Join, Fasten, Tie, Bind",Detach,I attached a photo to my application form.,Don't forget to attach your resume to the email.,Please attach the document to the email.,Please attach a copy of your ID to the application form.,You can attach the file to the email before clicking send.,They used strong glue to attach the handle to the door.,You should attach a detailed curriculum vitae to your application.,Historians attach great importance to the discovery of these ancient scripts.,Please attach the labels to each specimen before sending them to the lab.,Scientists attach sensors to the whales to monitor their migration.,Do not attach too much significance to these preliminary test results.,It is necessary to attach the supporting documents to the report.,She decided to attach a short note to the gift for her professor.,Many people attach a certain level of prestige to working in law.,The engineer will attach the new components to the main frame.,You can attach a digital signature to ensure the file's authenticity.,Başvuru formuma bir fotoğraf ekledim.,Özgeçmişinizi e-postaya eklemeyi unutmayın.,Lütfen belgeyi e-postaya ekleyin.,Lütfen kimliğinizin bir kopyasını başvuru formuna ekleyin.,Göndere tıklamadan önce dosyayı e-postaya ekleyebilirsiniz.,Sapı kapıya takmak için güçlü tutkal kullandılar.,Başvurunuza detaylı bir özgeçmiş eklemelisiniz.,Tarihçiler bu antik yazıtların keşfine büyük önem veriyorlar.,Lütfen numuneleri laboratuvara göndermeden önce etiketlerini iliştirin.,Bilim insanları göçlerini izlemek için balinalara sensörler takıyorlar.,Bu ön test sonuçlarına çok fazla önem atfetmeyin.,Destekleyici belgeleri rapora iliştirmek gereklidir.,Profesörü için hazırladığı hediyeye kısa bir not eklemeye karar verdi.,Birçok kişi hukuk alanında çalışmaya belli bir prestij atfeder.,Mühendis yeni bileşenleri ana çerçeveye bağlayacak.,Dosyanın orijinalliğini sağlamak için dijital imza ekleyebilirsiniz.
62,Annihilation,"Yok olma, Yok etme",v,Extermination,"Existence, Being",The annihilation of the city by the bomb will never be forgotten.,The total annihilation of the enemy's fleet ended the war.,The war led to total annihilation of the city.,The war ended with the total annihilation of the enemy's army.,Fear of nuclear annihilation grew during the Cold War era.,The fire led to the annihilation of several ancient documents.,The total annihilation of the forest resulted in a loss of biodiversity.,Fear of nuclear annihilation dominated global politics during the Cold War.,The army's goal was the complete annihilation of the enemy forces.,Scientists warned that the asteroid could cause the annihilation of life.,The annihilation of the ancient city remains a tragic historical event.,Environmentalists are fighting against the annihilation of natural habitats.,The sudden annihilation of the company's profits shocked the investors.,Ancient myths often describe the annihilation of a civilization.,The flood led to the annihilation of the local crops this season.,New technologies could prevent the potential annihilation of rare species.,Şehrin bombadan dolayı yok olması hiç unutulmayacak.,Düşman filosunun tamamen yok edilmesi savaşı bitirdi.,Savaş şehrin tamamen yok olmasına yol açtı.,Savaş düşman ordusunun tamamen yok edilmesiyle sona erdi.,Nükleer yok olma korkusu Soğuk Savaş döneminde arttı.,Yangın birkaç antik belgenin yok olmasına yol açtı.,Ormanın tamamen yok edilmesi biyoçeşitlilik kaybına yol açtı.,Nükleer yok olma korkusu Soğuk Savaş sırasında küresel politikaya hakimdi.,Ordunun hedefi düşman kuvvetlerini tamamen yok etmekti.,Bilim insanları asteroidin hayatın yok olmasına neden olabileceği uyarısında bulundu.,Antik şehrin yok olması trajik bir tarihi olay olarak kalmaya devam ediyor.,Çevreciler doğal yaşam alanlarının yok olmasına karşı savaşıyorlar.,Şirket kârlarının ani yok oluşu yatırımcıları şoke etti.,Antik mitler genellikle bir uygarlığın yok oluşunu anlatır.,Sel bu sezon yerel ekinlerin yok olmasına yol açtı.,Yeni teknolojiler nadir türlerin potansiyel yok oluşunu önleyebilir.
63,Compete With,Yarışmak,v,Race,"Share, Participate",Kangaroos compete with sheep for sparse supplies of food and water.,Local shops have to compete with large international chains.,Local firms struggle to compete with global brands.,Local businesses find it hard to compete with large supermarkets.,Athletes from all over the world come to compete in the Olympics.,We have to compete against several other firms for this contract.,Small businesses find it hard to compete with global corporations.,Athletes from fifty nations will compete for the gold medal.,The two companies compete relentlessly for the same group of customers.,Plants in the forest compete for sunlight and soil nutrients.,Many students compete for the limited number of university scholarships.,The internet allows local artists to compete on a global scale.,Different species often compete for the same food source in an area.,We must improve our technology to compete in the international market.,He is a very ambitious person who loves to compete in everything.,The study examines how firms compete during a period of recession.,Kangurular az miktardaki su ve yiyecek kaynakları için koyunlarla rekabet eder.,Yerel dükkanlar büyük uluslararası zincirlerle rekabet etmek zorunda.,Yerel firmalar küresel markalarla rekabet etmekte zorlanıyor.,Yerel işletmeler büyük süpermarketlerle rekabet etmekte zorlanıyor.,Dünyanın her yerinden atletler Olimpiyatlarda yarışmaya gelir.,Bu sözleşme için birkaç diğer firmayla rekabet etmek zorundayız.,Küçük işletmeler küresel şirketlerle rekabet etmekte zorlanıyor.,Elli ulustan atlet altın madalya için yarışacak.,İki şirket aynı müşteri grubu için amansızca rekabet ediyor.,Ormandaki bitkiler güneş ışığı ve toprak besinleri için rekabet eder.,Birçok öğrenci sınırlı sayıdaki üniversite bursu için rekabet ediyor.,İnternet yerel sanatçıların küresel ölçekte rekabet etmesine izin verir.,Farklı türler genellikle bir bölgedeki aynı besin kaynağı için rekabet eder.,Uluslararası pazarda rekabet etmek için teknolojimizi geliştirmeliyiz.,O her şeyde rekabet etmeyi seven çok hırslı biridir.,Çalışma firmaların resesyon döneminde nasıl rekabet ettiğini inceliyor.
64,Corrisponding,"Denk, Karşılık Gelen, Tekabul Eden",adj,"Equivalent, Matching, Parallel",Irrelevant,"As the course becomes more difficult, there's usually a corresponding drop in attendance.",A rise in sales usually leads to a corresponding increase in profits.,The data must match the corresponding records.,A rise in costs led to a corresponding increase in prices.,Each number on the map has a corresponding description below.,Her improved skills brought a corresponding growth in her salary.,A rise in demand led to a corresponding increase in the price of oil.,Each symbol on the map has a corresponding explanation in the key.,"As the temperature drops, there is a corresponding rise in heating costs.",The data shows a corresponding decrease in crime and unemployment.,"For every action, there is a corresponding reaction in the physical world.",Her improved skills led to a corresponding growth in her career.,The two lists show the corresponding names and identification numbers.,We need to find the corresponding parts for this old machine.,A fall in exports resulted in a corresponding decline in the economy.,The study finds a corresponding link between diet and longevity.,Kurs zorlaştıkça devam konusunda genellikle buna bağlı bir azalma olur.,Satışlardaki artış genellikle kârlarda buna bağlı bir artışa yol açar.,Veriler karşılık gelen kayıtlarla eşleşmelidir.,Maliyetlerdeki artış fiyatlarda buna bağlı bir artışa yol açtı.,Haritadaki her numaranın aşağıda karşılık gelen bir açıklaması vardır.,Gelişen becerileri maaşında buna bağlı bir artış getirdi.,Talepteki artış petrol fiyatında buna bağlı bir artışa yol açtı.,Haritadaki her sembolün lejantta karşılık gelen bir açıklaması vardır.,Sıcaklık düştükçe ısıtma maliyetlerinde buna bağlı bir artış olur.,Veriler suç ve işsizlikte buna bağlı bir düşüş göstermektedir.,Fiziksel dünyada her eylem için buna bağlı bir tepki vardır.,Gelişen becerileri kariyerinde buna bağlı bir büyümeye yol açtı.,İki liste karşılık gelen isimleri ve kimlik numaralarını gösteriyor.,Bu eski makine için karşılık gelen parçaları bulmamız gerekiyor.,İhracattaki düşüş ekonomide buna bağlı bir gerileme ile sonuçlandı.,Çalışma diyet ve uzun ömür arasında karşılık gelen bir bağ buluyor.
65,Momentum,"Hız, İvme",adj,"Impetus, Speed, Velocity",,The spacecraft will fly round the Earth to gather momentum for its trip to Jupiter.,The campaign is starting to gain momentum across the country.,The team gained momentum after scoring.,The political campaign is starting to gather momentum lately.,The car gained momentum as it rolled down the steep hill.,We need to keep the momentum going to finish the project today.,The political campaign is starting to gain momentum across the country.,The car gained momentum as it rolled down the steep mountain path.,We need to keep the momentum of the project going until the end.,The protest movement gathered momentum after the new law was passed.,It is difficult to stop a large object once it has gained enough momentum.,The economic recovery is starting to lose momentum due to inflation.,The team's victory in the first game gave them a lot of momentum.,New scientific discoveries are giving momentum to the research.,The company is using the new product launch to build momentum.,High-speed trains rely on momentum to travel efficiently over distances.,Uzay mekiği Jüpiter yolculuğu için hız kazanmak amacıyla yeryüzü etrafında uçacak.,Kampanya ülke genelinde ivme kazanmaya başlıyor.,Gol attıktan sonra takım ivme kazandı.,Siyasi kampanya son zamanlarda ivme kazanmaya başlıyor.,Araba dik tepeden aşağı yuvarlanırken hız kazandı.,Projeyi bugün bitirmek için ivmeyi devam ettirmemiz gerekiyor.,Siyasi kampanya ülke genelinde ivme kazanmaya başlıyor.,Araba dik dağ yolunda aşağı yuvarlanırken ivme kazandı.,Projenin ivmesini sonuna kadar korumalıyız.,Protesto hareketi yeni yasa geçtikten sonra ivme kazandı.,Yeterli ivme kazandıktan sonra büyük bir nesneyi durdurmak zordur.,Ekonomik iyileşme enflasyon nedeniyle ivme kaybetmeye başlıyor.,İlk maçtaki zafer takıma büyük ivme kazandırdı.,Yeni bilimsel keşifler araştırmaya ivme kazandırıyor.,Şirket yeni ürün lansmanını ivme oluşturmak için kullanıyor.,Hızlı trenler mesafeler üzerinde verimli seyahat etmek için ivmeye güvenir.
66,Menace,Tehdit Etmek,adj,Threaten,,Hurricane Hugo menaced the US coast for a week.,Drunk driving is a serious menace to public safety.,The virus remains a global menace.,The abandoned building has become a menace to public safety.,Drunk drivers are a serious menace to everyone on the road.,The dark clouds began to menace the small fishing village.,Pollution is a constant menace to the health of the local river.,Drunk drivers are a serious menace to everyone on the public road.,The dark clouds began to menace the small fishing village at dawn.,Cybercrime has become a growing menace to global financial systems.,The general's aggressive words were seen as a menace to peace.,We must take action against the menace of drug addiction in schools.,The high rate of inflation is a menace to the country's stability.,Wildfires are a major menace to the forests in this dry region.,The silent predator was a hidden menace in the deep ocean.,He was arrested for being a menace to the safety of the public.,"""Hugo"" fırtınası bir hafta boyunca Amerika kıyılarını tehdit etti.",Alkollü araç kullanmak kamu güvenliği için ciddi bir tehdittir.,Virüs küresel bir tehdit olmayı sürdürüyor.,Terk edilmiş bina kamu güvenliği için bir tehdit haline geldi.,Alkollü sürücüler yoldaki herkes için ciddi bir tehdittir.,Kara bulutlar küçük balıkçı köyünü tehdit etmeye başladı.,Kirlilik yerel nehrin sağlığı için sürekli bir tehdittir.,Alkollü sürücüler halka açık yollarda herkes için ciddi bir tehdittir.,Kara bulutlar şafak vaktinde balıkçı köyünü tehdit etmeye başladı.,Siber suçlar küresel finansal sistemler için büyüyen bir tehdit haline geldi.,Generalin saldırgan sözleri barışa bir tehdit olarak görüldü.,Okullardaki uyuşturucu bağımlılığı tehdidine karşı önlem almalıyız.,Yüksek enflasyon oranı ülkenin istikrarı için bir tehdittir.,Orman yangınları bu kurak bölgedeki ormanlar için büyük bir tehdittir.,Sessiz avcı derin okyanusta gizli bir tehditti.,Halkın güvenliğini tehdit ettiği için tutuklandı.
67,Mature,Olgun,adv,"Developed, Full Grown","Juvenile, Immature, Young",Mature male gorillas have silver-grey hairs on their backs.,She showed a very mature attitude toward the problem.,His ideas became more mature over time.,He showed a very mature response to the unfair criticism.,The fruit is not yet mature enough to be picked from the tree.,She has become a very mature and responsible young woman.,Full-grown plants need less water than younger ones to remain healthy.,The company decided to wait for a more mature market before launching.,She showed a mature attitude when dealing with the unexpected crisis.,Mature male gorillas have silver-grey hairs on their backs.,It takes several years for this cheese to reach its mature flavor.,The scientist's mature judgment was respected by all his colleagues.,Juvenile behavior is often expected in teenagers but they grow up.,Investing in mature economies is generally considered less risky.,After a decade of research the theory has finally reached a mature stage.,A mature forest ecosystem provides a stable habitat for species.,Yetişkin erkek gorillerin sırtlarında gümüş grisi tüyleri vardır.,Soruna karşı çok olgun bir tavır gösterdi.,Fikirleri zamanla daha olgun hale geldi.,Haksız eleştiriye karşı çok olgun bir yanıt verdi.,Meyve ağaçtan toplanacak kadar henüz olgunlaşmadı.,Çok olgun ve sorumlu bir genç kadın haline geldi.,Tam yetişmiş bitkiler sağlıklı kalmak için genç olanlardan daha az suya ihtiyaç duyar.,Şirket lansmandan önce daha olgun bir pazar için beklemeye karar verdi.,Beklenmedik krizle uğraşırken olgun bir tavır gösterdi.,Yetişkin erkek gorillerin sırtlarında gümüş grisi tüyleri vardır.,Bu peynirin olgun lezzetine ulaşması birkaç yıl sürer.,Bilim insanının olgun yargısı tüm meslektaşları tarafından saygı gördü.,Gençlerde çocukça davranışlar beklenir ama sonunda olgun yetişkinlere dönüşürler.,Olgun ekonomilere yatırım yapmak genellikle daha az riskli kabul edilir.,On yıllık araştırmadan sonra teori sonunda olgun bir aşamaya ulaştı.,Olgun bir orman ekosistemi türler için istikrarlı bir yaşam alanı sağlar.
68,Negotiate,"Görüşmek, Pazarlık Etmek",v,"Bargain, Discuss, Talk",,The government has refused to negotiate with the strikers.,The union is trying to negotiate a better deal for the workers.,The sides will negotiate a settlement.,The union is ready to negotiate for better working hours.,It took months to negotiate the terms of the new trade deal.,I managed to negotiate a lower price for the second-hand car.,The diplomats worked through the night to negotiate a peace treaty.,The government has refused to negotiate with the strikers.,It is difficult to negotiate a better salary during a major recession.,The two companies are trying to negotiate the terms of a merger.,He managed to negotiate a lower price for the second-hand vehicle.,Being able to negotiate effectively is a crucial skill in commerce.,The labor union is prepared to negotiate for improved conditions.,Small businesses often find it hard to negotiate with large suppliers.,"They were unable to negotiate a settlement, so the case went to court.",Experts were called in to negotiate the release of the hostages safely.,Hükümet grev yapanlarla görüşmeyi reddetti.,Sendika işçiler için daha iyi bir anlaşma müzakere etmeye çalışıyor.,Taraflar bir çözüm üzerinde müzakere edecekler.,Sendika daha iyi çalışma saatleri için görüşmeye hazır.,Yeni ticaret anlaşmasının şartlarını müzakere etmek aylar sürdü.,İkinci el araba için daha düşük bir fiyat pazarlığı yapmayı başardım.,Diplomatlar kalıcı bir barış antlaşması müzakere etmek için gece boyu çalıştılar.,Hükümet grev yapanlarla görüşmeyi reddetti.,Büyük bir ekonomik durgunluk sırasında daha iyi bir maaş pazarlığı yapmak zordur.,İki şirket devasa bir birleşmenin şartlarını müzakere etmeye çalışıyor.,İkinci el araç için daha düşük bir fiyat üzerinde anlaşmayı başardı.,Etkili bir şekilde müzakere edebilmek uluslararası ticarette çok önemli bir beceridir.,İşçi sendikası iyileştirilmiş çalışma koşulları için müzakereye hazır.,Küçük işletmeler genellikle büyük tedarikçilerle pazarlık yapmakta zorlanır.,"Bir çözüm üzerinde anlaşamadılar, bu yüzden dava mahkemeye gitti.",Rehinelerin güvenli bir şekilde serbest bırakılmasını müzakere etmek için uzmanlar çağrıldı.
69,Incredible,İnanılmaz,v,Unbelievable,Believable,It seems incredible that no one foresaw the crisis.,It is incredible how much he has achieved in such a short time.,The view from the summit was incredible.,It is incredible that he survived the crash without any injuries.,The team made an incredible comeback in the final minutes.,She has an incredible talent for learning difficult languages.,It seems incredible that no one foresaw the crisis.,The athlete made an incredible comeback after suffering a serious injury.,Modern technology allows us to process data at an incredible speed.,She has an incredible memory for names and faces she saw years ago.,The discovery of ancient ruins in the desert was truly incredible.,It is incredible how much the city has changed in just one decade.,Scientists have made incredible progress in the field of genetic research.,The documentary tells an incredible story of survival in the Arctic.,He showed an incredible amount of courage during the dangerous rescue.,The price of the rare artifact was an incredible sum that few could afford.,Krizi hiçkimsenin önceden fark etmemesi inanılmaz gibi görünüyor.,Bu kadar kısa sürede bu kadar çok şey başarması inanılmaz.,Zirveden manzara inanılmazdı.,Kazadan hiç yara almadan kurtulması inanılmaz.,Takım son dakikalarda inanılmaz bir geri dönüş yaptı.,Zor dilleri öğrenme konusunda inanılmaz bir yeteneği var.,Krizi kimsenin önceden görmemiş olması inanılmaz görünüyor.,Atlet ciddi bir sakatlık geçirdikten sonra inanılmaz bir geri dönüş yaptı.,Modern teknoloji verileri inanılmaz bir hızla işlememize olanak tanıyor.,Yıllar önce gördüğü isimler ve yüzler için inanılmaz bir hafızası var.,Çöldeki antik kalıntıların keşfi gerçekten inanılmazdı.,Şehrin sadece on yıl içinde ne kadar çok değiştiği inanılmaz.,Bilim insanları genetik araştırma alanında inanılmaz ilerleme kaydettiler.,Belgesel Kuzey Kutbu'nda inanılmaz bir hayatta kalma hikayesini anlatıyor.,Tehlikeli kurtarma operasyonu sırasında inanılmaz miktarda cesaret gösterdi.,Nadir eserin fiyatı çok az kişinin karşılayabileceği inanılmaz bir meblağdı.
70,Extremely,"Aşırı derecede, Büyük Ölçüde",v,"Enormously, Tremendously","Tiny, Little",She's extremely beautiful.,It is extremely important to follow the safety instructions.,She was extremely satisfied with the outcome.,The weather in the desert can be extremely hot during the day.,I am extremely grateful for all the support you have provided.,The situation has become extremely dangerous for the hikers.,She's extremely beautiful.,Some of the chemicals used in the factory are extremely hazardous.,She is an extremely talented musician who has won international awards.,The situation in the disaster area has become extremely critical.,It is extremely important to follow the safety protocols in the lab.,His research has proven to be extremely influential in sociology.,The company is facing extremely high levels of competition from overseas.,New regulations have made it extremely difficult for small firms to survive.,Finding a viable solution to the problem has been extremely challenging.,The professor was extremely grateful for the support of his students.,Aşırı derecede güzel.,Güvenlik talimatlarına uymak son derece önemlidir.,Sonuçtan aşırı derecede memnun kaldı.,Çölde hava gün boyunca aşırı derecede sıcak olabilir.,Sağladığınız tüm destek için son derece minnettarım.,Durum yürüyüşçüler için aşırı derecede tehlikeli bir hal aldı.,O aşırı derecede güzeldir.,Fabrikada kullanılan bazı kimyasallar sağlık için son derece tehlikelidir.,Uluslararası ödüller kazanmış son derece yetenekli bir müzisyendir.,Afet bölgesindeki durum son derece kritik bir hal aldı.,Laboratuvardaki güvenlik protokollerine uymak son derece önemlidir.,Araştırmasının sosyoloji alanında son derece etkili olduğu kanıtlandı.,Şirket denizaşırı ülkelerden gelen son derece yüksek düzeyde rekabetle karşı karşıya.,Yeni düzenlemeler küçük firmaların hayatta kalmasını son derece zorlaştırdı.,Soruna uygulanabilir bir çözüm bulmak son derece zorlayıcı oldu.,Profesör öğrencilerinin desteği için son derece minnettar kaldı.
71,Common,"Ortak, Yaygın",v,Shared,"Private, Distinctive, Unusual",English has some features common to many languages.,Cold and flu are common illnesses during the winter months.,This is a common misconception.,Small mistakes are quite common during the first week of work.,We discovered that we have many common interests in music.,It is a common belief that eating carrots improves your vision.,English has some features common to many languages.,It is common knowledge that smoking increases the risk of lung cancer.,The two countries found that they had many common interests in trade.,Side effects such as headaches are quite common with this drug.,We need to work together for the common good of the entire community.,This type of bird is becoming less common due to the loss of its habitat.,Poor communication is a common cause of failure in large-scale projects.,The committee reached a common understanding of the new safety rules.,They decided to share a common goal of reducing carbon emissions.,It is a common misconception that all snakes are dangerous to humans.,İngilizce’nin birçok dille ortak olan özellikleri vardır.,Soğuk algınlığı ve grip kış aylarında yaygın görülen hastalıklardır.,Bu yaygın bir yanlış anlamadır.,İşin ilk haftasında küçük hatalar oldukça yaygındır.,Müzikte pek çok ortak ilgi alanımız olduğunu keşfettik.,Havuç yemenin görmeyi iyileştirdiği yaygın bir inanıştır.,İngilizce'nin pek çok dille ortak bazı özellikleri vardır.,Sigara içmenin akciğer kanseri riskini artırdığı bilinen bir gerçektir.,İki ülke ticarette pek çok ortak çıkarları olduğunu gördü.,Baş ağrısı gibi yan etkiler bu ilaçta oldukça yaygındır.,Tüm topluluğun ortak iyiliği için birlikte çalışmamız gerekiyor.,Bu kuş türü yaşam alanı kaybı nedeniyle daha az görülür (yaygınlığı azalır) hale geliyor.,Kötü iletişim büyük ölçekli projelerde yaygın bir başarısızlık nedenidir.,Komite yeni güvenlik kuralları konusunda ortak bir anlayışa vardı.,Karbon emisyonlarını azaltma konusunda ortak bir hedef paylaşmaya karar verdiler.,Tüm yılanların insanlar için tehlikeli olduğu yaygın bir yanlış kanıdır.
